Date,Algae,Species,SampleiD,Depth,Temperature,Light,Respiration,netPhotosynthesis,grossPhotosynthesis,PR_ratio
08/09/2021,brown,Cystoseira,1,20,21,control,-0.002915339,0.007516295,0.010431634,2.578189119
08/09/2021,brown,Cystoseira,2,20,21,control,-0.00233695,0.008827879,0.011164829,3.777521515
08/09/2021,brown,Cystoseira,3,20,21,control,-0.003084083,0.007007372,0.010091455,2.27210854
08/09/2021,brown,Cystoseira,4,20,21,control,-0.001990373,0.004705388,0.006695761,2.364073567
08/09/2021,brown,Cystoseira,5,20,21,control,-0.002655281,0.006009841,0.008665122,2.263354054
08/09/2021,brown,Cystoseira,6,20,21,control,-0.003523266,0.009060007,0.012583273,2.571479633
08/09/2021,red,Phyllophora,1,20,21,control,-0.002354899,0.009357141,0.01171204,3.973478157
08/09/2021,red,Phyllophora,2,20,21,control,-0.002814454,0.005833306,0.008647761,2.072624255
08/09/2021,red,Phyllophora,3,20,21,control,-0.003597068,0.008088301,0.011685369,2.248581557
08/09/2021,red,Phyllophora,4,20,21,control,-0.004023557,0.007351412,0.011374969,1.827092969
08/09/2021,red,Phyllophora,5,20,21,control,-0.002995225,0.006850826,0.009846051,2.287249261
08/09/2021,red,Phyllophora,6,20,21,control,-0.003360983,0.005117569,0.008478552,1.52264089
11/09/2021,brown,Cystoseira,1,20,26,control,-0.004197449,0.003704649,0.007902098,0.882595369
11/09/2021,brown,Cystoseira,2,20,26,control,-0.004252394,0.003126912,0.007379307,0.735329812
11/09/2021,brown,Cystoseira,3,20,26,control,-0.003756474,0.004173044,0.007929518,1.1108937
11/09/2021,brown,Cystoseira,4,20,26,control,-0.005038119,0.005620298,0.010658417,1.115554837
11/09/2021,brown,Cystoseira,5,20,26,control,-0.003891761,0.005310767,0.009202528,1.36461768
11/09/2021,brown,Cystoseira,6,20,26,control,-0.004442075,0.004916019,0.009358094,1.106694225
11/09/2021,red,Phyllophora,1,20,26,control,-0.007747093,0.005424324,0.013171416,0.700175408
11/09/2021,red,Phyllophora,2,20,26,control,-0.005854955,0.003022847,0.008877802,0.516288636
11/09/2021,red,Phyllophora,3,20,26,control,-0.003139772,0.004819249,0.007959021,1.534904356
11/09/2021,red,Phyllophora,4,20,26,control,-0.003531745,0.00290525,0.006436995,0.822610429
11/09/2021,red,Phyllophora,5,20,26,control,-0.004396752,0.003046827,0.007443579,0.692972321
11/09/2021,red,Phyllophora,6,20,26,control,-0.004572326,0.005192677,0.009765004,1.135675093
12/09/2021,brown,Cystoseira,1,20,30,control,-0.00310253,0.006163341,0.009265871,1.98655316
12/09/2021,brown,Cystoseira,2,20,30,control,-0.00290474,0.008004321,0.010909061,2.755606843
12/09/2021,brown,Cystoseira,3,20,30,control,-0.003687376,0.007915374,0.011602749,2.146614508
12/09/2021,brown,Cystoseira,4,20,30,control,-0.003236404,0.007257758,0.010494162,2.242537672
12/09/2021,brown,Cystoseira,5,20,30,control,-0.002540699,0.005443743,0.007984442,2.142616072
12/09/2021,brown,Cystoseira,6,20,30,control,-0.003274922,0.005218944,0.008493866,1.593608528
12/09/2021,red,Phyllophora,1,20,30,control,-0.003423767,0.005314285,0.008738052,1.552174919
12/09/2021,red,Phyllophora,2,20,30,control,-0.004042891,0.008331058,0.012373949,2.060668319
12/09/2021,red,Phyllophora,3,20,30,control,-0.002684989,0.007296368,0.009981357,2.717466075
12/09/2021,red,Phyllophora,4,20,30,control,-0.00387673,0.007894956,0.011771686,2.036498789
12/09/2021,red,Phyllophora,5,20,30,control,-0.002682806,0.004620269,0.007303074,1.722178003
12/09/2021,red,Phyllophora,6,20,30,control,-0.003198451,0.004924172,0.008122623,1.539548958
12/09/2021,brown,Cystoseira,1,20,34,control,-0.004967034,0.003213604,0.008180638,0.646986396
12/09/2021,brown,Cystoseira,2,20,34,control,-0.002802753,0.004725009,0.007527762,1.685845468
12/09/2021,brown,Cystoseira,3,20,34,control,-0.003129822,0.003215336,0.006345158,1.027322223
12/09/2021,brown,Cystoseira,4,20,34,control,-0.004480437,0.003930637,0.008411074,0.877288693
12/09/2021,brown,Cystoseira,5,20,34,control,-0.003007913,0.00396177,0.006969683,1.317115897
12/09/2021,brown,Cystoseira,6,20,34,control,-0.004348875,0.001331341,0.005680216,0.306134676
12/09/2021,red,Phyllophora,1,20,34,control,-0.004670439,0.003052685,0.007723124,0.653618361
12/09/2021,red,Phyllophora,2,20,34,control,-0.003057653,0.003117005,0.006174658,1.019411018
12/09/2021,red,Phyllophora,3,20,34,control,-0.004620742,0.005161654,0.009782396,1.117061615
12/09/2021,red,Phyllophora,4,20,34,control,-0.005812523,0.003085533,0.008898056,0.53084221
12/09/2021,red,Phyllophora,5,20,34,control,-0.003249334,0.002357302,0.005606636,0.725472537
12/09/2021,red,Phyllophora,6,20,34,control,-0.004179835,0.001377112,0.005556947,0.329465593
NA,brown,Cystoseira,1,20,21,medium,-0.002018611,0.005207695,0.007226306,2.579840421
NA,brown,Cystoseira,2,20,21,medium,-0.001954524,0.006956661,0.008911185,3.559260006
NA,brown,Cystoseira,3,20,21,medium,-0.002359978,0.00629681,0.008656788,2.668165235
NA,brown,Cystoseira,4,20,21,medium,-0.001884448,0.005880193,0.007764641,3.120379996
NA,brown,Cystoseira,5,20,21,medium,-0.002119576,0.00603153,0.008151107,2.84563022
NA,brown,Cystoseira,6,20,21,medium,-0.002043774,0.004952472,0.006996246,2.42319995
NA,red,Phyllophora,1,20,21,medium,-0.002108536,0.005925005,0.00803354,2.810008864
NA,red,Phyllophora,2,20,21,medium,-0.002590507,0.004952662,0.00754317,1.911850361
NA,red,Phyllophora,3,20,21,medium,-0.002009931,0.008091519,0.01010145,4.025769797
NA,red,Phyllophora,4,20,21,medium,-0.002213847,0.005105079,0.007318925,2.305976521
NA,red,Phyllophora,5,20,21,medium,-0.003279227,0.006518288,0.009797515,1.987751706
NA,red,Phyllophora,6,20,21,medium,-0.002450834,0.004688772,0.007139607,1.913133309
NA,brown,Cystoseira,1,20,26,medium,-0.002494528,0.004403122,0.00689765,1.765112521
NA,brown,Cystoseira,2,20,26,medium,-0.003939929,0.009072646,0.013012575,2.302743478
NA,brown,Cystoseira,3,20,26,medium,-0.003124682,0.007304245,0.010428927,2.33759652
NA,brown,Cystoseira,4,20,26,medium,-0.003188373,0.008079989,0.011268362,2.53420403
NA,brown,Cystoseira,5,20,26,medium,-0.002785228,0.006214398,0.008999626,2.231198645
NA,brown,Cystoseira,6,20,26,medium,-0.003645617,0.0063722,0.010017817,1.747906864
NA,red,Phyllophora,1,20,26,medium,-0.002804049,0.006100307,0.008904356,2.175535567
NA,red,Phyllophora,2,20,26,medium,-0.002521278,0.005515022,0.0080363,2.187391642
NA,red,Phyllophora,3,20,26,medium,-0.002796488,0.00477506,0.007571549,1.707520367
NA,red,Phyllophora,4,20,26,medium,-0.002266792,0.004684986,0.006951778,2.066791232
NA,red,Phyllophora,5,20,26,medium,-0.002481612,0.005385608,0.00786722,2.170204976
NA,red,Phyllophora,6,20,26,medium,-0.003880298,0.005001197,0.008881495,1.288869251
NA,brown,Cystoseira,1,20,30,medium,-0.005945134,0.006541175,0.012486309,1.100256871
NA,brown,Cystoseira,2,20,30,medium,-0.00525802,0.007280362,0.012538382,1.384620519
NA,brown,Cystoseira,3,20,30,medium,-0.003088345,0.008195985,0.011284329,2.653844087
NA,brown,Cystoseira,4,20,30,medium,-0.003882828,0.008041955,0.011924783,2.071158989
NA,brown,Cystoseira,5,20,30,medium,-0.003106548,0.006702735,0.009809283,2.157615113
NA,brown,Cystoseira,6,20,30,medium,-0.00510303,0.00604576,0.01114879,1.184739211
NA,red,Phyllophora,1,20,30,medium,-0.00359772,0.005163266,0.008760987,1.435149458
NA,red,Phyllophora,2,20,30,medium,-0.002744868,0.005411433,0.008156301,1.97147299
NA,red,Phyllophora,3,20,30,medium,-0.003586948,0.007392698,0.010979646,2.060999218
NA,red,Phyllophora,4,20,30,medium,-0.004918053,0.005219017,0.01013707,1.061195664
NA,red,Phyllophora,5,20,30,medium,-0.004146512,0.007495355,0.011641868,1.807628853
NA,red,Phyllophora,6,20,30,medium,-0.005443462,0.006935252,0.012378714,1.274051734
NA,brown,Cystoseira,1,20,21,high,-0.001795678,0.003410895,0.005206573,1.899502236
NA,brown,Cystoseira,2,20,21,high,-0.001849053,0.003024886,0.004873939,1.635910881
NA,brown,Cystoseira,3,20,21,high,-0.002059741,0.002779238,0.004838979,1.349314152
NA,brown,Cystoseira,4,20,21,high,-0.002757565,0.002988494,0.005746058,1.083743694
NA,brown,Cystoseira,5,20,21,high,-0.001445703,0.002449564,0.003895267,1.694375054
NA,brown,Cystoseira,6,20,21,high,-0.001941029,0.00209279,0.004033819,1.078185832
NA,red,Phyllophora,1,20,21,high,-0.001598542,0.004448459,0.006047002,2.782822426
NA,red,Phyllophora,2,20,21,high,-0.001984202,0.005636879,0.007621081,2.840879073
NA,red,Phyllophora,3,20,21,high,-0.002449289,0.006988064,0.009437353,2.853099021
NA,red,Phyllophora,4,20,21,high,-0.001511454,0.005273721,0.006785175,3.489169677
NA,red,Phyllophora,5,20,21,high,-0.002161867,0.004890894,0.007052761,2.262347845
NA,red,Phyllophora,6,20,21,high,-0.001419781,0.002718798,0.004138578,1.91494216
NA,brown,Cystoseira,1,20,26,high,-0.003620521,0.000858103,0.004478623,0.237010856
NA,brown,Cystoseira,2,20,26,high,-0.003234816,0.000415415,0.003650231,0.128419838
NA,brown,Cystoseira,3,20,26,high,-0.004246357,-0.000279997,0.00396636,-0.065938148
